x,y,cluster,squad
0.4932723553311784,-0.14237662623289332,1,Ajax
0.15567539976412464,-0.24467881846776993,1,Atalanta
0.3539940200836825,0.06943447405406081,1,Atletico Madrid
0.25159364932161765,0.7759831306150272,4,Barcelona
-0.19100747571626375,-0.07748634180456083,0,Basaksehir
0.6981094116138266,0.13104527745057437,1,Bayern Munich
-0.12220684922992411,0.10748640530631647,0,Chelsea
0.047225783929849816,0.2232499643918411,0,Club Brugge
0.13424594096549244,-0.012113648187526879,1,Dortmund
-0.48156863394499005,-0.22564456571132835,2,DynamoKyiv
-0.27958196216681436,-0.31442102046635356,2,Ferencvaros
-0.16027357786489804,0.7991899649456781,4,Inter
-0.15524412005232371,0.19769930148526826,0,Juventus
-0.6470095060063518,0.26525651886973484,0,Krasondar
-0.546387475982259,-0.45917913350542494,2,Lazio
0.17792787643370467,0.008815603115432166,1,Liverpool
-0.819071051804069,-0.5280781156543518,2,Loko Moscow
-0.23707832424362976,-0.3254531388564378,2,Monchen Gladbach
0.056592958279120455,1.0742475149926218,4,Manchester City
0.5324306031604407,0.38941566660797033,1,Manchester Utd
0.14269830244441462,-0.3057198536713164,1,Marseille
0.2994415600408369,-0.20568866378265005,1,Midtjylland
-0.3768919181881281,0.24214657789484795,0,Olympiacos
-0.13605263748059113,-0.3084500025392514,2,Paris SG
-0.23527257852271213,-0.20145919214700625,2,Porto
1.239666623718754,-0.447999444504624,3,RB Leipzig
1.0891032236246365,-0.4200168170666851,3,RB Salzburg
0.22527989628476572,-0.03623287416642562,1,Real Madrid
-0.3552119176019225,0.08089333558210464,0,Rennes
-0.2577850908832114,0.5087048853821122,0,Sevilla
-0.8490098222287497,-0.1853142682060812,2,Shakhtar
-0.047604663079607104,-0.43325609572290213,2,Zenit
