x,y,cluster,squad
0.21503832594549713,0.4784070387178591,1,Ajax
-0.03177409364336799,0.3460681679102034,1,Atalanta
0.08528166073754916,0.3163799842431873,1,Atletico Madrid
1.7669923568201555,-0.4385249990796156,2,Barcelona
-0.5681143235978781,-0.002855866526170721,0,Basaksehir
1.0422535583942154,0.4177717072663231,3,Bayern Munich
0.37006620895121295,-0.2548968612323748,3,Chelsea
0.0939844595177337,-0.061629895355931094,1,Club Brugge
0.3936800699160143,0.0345534970593749,1,Dortmund
-0.8061816811264831,-0.2989360098681985,0,DynamoKyiv
-0.6700923411782101,-0.16457065455330488,0,Ferencvaros
0.3660531639660439,-0.4933623042084139,3,Inter
0.7040611490316693,-0.3275468571337271,3,Juventus
-0.831711243081311,-0.3742991967185219,0,Krasondar
-0.5491257640584462,-0.21386744221420437,0,Lazio
0.32985491221322166,0.12760059057241838,1,Liverpool
-1.450550717683463,-0.23786922573055957,0,Loko Moscow
-0.574089347014251,-0.01775942662714327,0,Monchen Gladbach
1.6795373719269082,-0.7079798661228878,2,Manchester City
0.5043131427062757,0.3123927479713609,1,Manchester Utd
-0.4391236422152577,0.15529405723242906,0,Marseille
-0.6741667726196013,0.5657409122250591,0,Midtjylland
-0.4577570610347099,-0.42164722795900006,0,Olympiacos
-0.11834063927834043,0.07266462672306036,1,Paris SG
-0.9536800382729756,0.11383088615112376,0,Porto
0.33196785878892043,1.250962900676858,4,RB Leipzig
0.2650061738753542,1.3005837115821393,4,RB Salzburg
0.8824068870046781,-0.021618298201693562,3,Real Madrid
-0.2595204824653407,-0.34525791983399695,0,Rennes
0.6137878607741333,-0.5677933610616988,3,Sevilla
-0.7710192364596324,-0.7010283630960371,0,Shakhtar
-0.4890377768403163,0.15919294719208155,0,Zenit
